data,method,cl,hl,ft_method,rank,alpha,dropout,target_modules,lr,epochs,batch_size,mae,mse,wape,smape,mae_scl,mse_scl,wape_scl,smape_scl,tr_time,inf_time,tr_params_ratio
Etth1,TimesFM,96,96,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,1.8327,6.4591,28.3,41.16,0.2195,0.0927,18.51,22.31,371.0874397754669,11.00776743888855,0.002649375809818973
Etth1,TimesFM,96,192,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,2.2528,8.4121,34.78,49.94,0.2698,0.1207,22.75,25.57,711.9931523799896,11.382375001907349,0.002649375809818973
Etth1,TimesFM,96,336,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,2.2335,8.5058,34.48,49.5,0.2675,0.122,22.56,25.23,1042.7200281620026,9.772863149642944,0.002649375809818973
Etth1,TimesFM,96,720,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,2.6759,11.4717,41.31,49.07,0.3205,0.1646,27.02,31.24,2025.0176594257355,9.156598091125488,0.002649375809818973
Etth2,TimesFM,96,96,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,4.3219,32.6195,20.14,25.72,0.379,0.2508,37.54,61.53,360.7185409069061,10.900507926940918,0.002649375809818973
Etth2,TimesFM,96,192,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,5.0952,43.13,23.74,32.17,0.4468,0.3317,44.26,66.21,714.3881177902222,11.01709771156311,0.002649375809818973
Etth2,TimesFM,96,336,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,4.8332,35.3501,22.52,31.19,0.4238,0.2718,41.98,66.58,1044.9559783935547,9.742498874664307,0.002649375809818973
Etth2,TimesFM,96,720,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,5.6694,58.2232,26.41,34.35,0.4972,0.4477,49.25,65.32,2025.0868315696716,9.7228524684906,0.002649375809818973
Ettm1,TimesFM,96,96,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,4.6806,38.9389,72.28,95.4,0.5608,0.5591,47.27,56.46,1462.9239130020142,42.49119758605957,0.002649375809818973
Ettm1,TimesFM,96,192,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,19.4597,31523.695,300.52,52.92,2.3317,452.5904,196.54,33.87,2893.355980873108,42.777838468551636,0.002649375809818973
Ettm1,TimesFM,96,336,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,21.5247,40998.164,332.41,101.48,2.5791,588.6167,217.4,55.7,4295.593866348267,38.23850059509277,0.002649375809818973
Ettm1,TimesFM,96,720,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,7.8890674e+17,inf,1.2183106e+19,175.99,9.452784e+16,inf,7.9679777e+18,119.93,8542.457741260529,35.25679016113281,0.002649375809818973
Ettm2,TimesFM,96,96,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,315.94,282639.53,1471.74,170.82,27.7128,2174.6248,2744.04,147.68,1468.5437347888947,43.13206958770752,0.002649375809818973
Ettm2,TimesFM,96,192,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,449509.88,1.4855339e+12,2.0939496e+06,178.05,39428.92,1.1429677e+10,3.9041362e+06,162.95,2878.8068523406982,42.09236001968384,0.002649375809818973
Ettm2,TimesFM,96,336,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,8.3921,184.0876,39.09,42.45,0.7361,1.4164,72.89,81.71,4288.639384508133,36.79921054840088,0.002649375809818973
Ettm2,TimesFM,96,720,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,8.276303e+13,2.6839942e+29,3.8553462e+14,167.59,7.259589e+12,2.0650615e+27,7.188233e+14,135.4,8534.235319137573,35.12926506996155,0.002649375809818973
Electricity,TimesFM,96,96,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,271.1676,135574.61,8.28,8.06,0.4891,0.4411,61.03,86.81,545.5867927074432,16.5527184009552,0.002649375809818973
Electricity,TimesFM,96,192,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,243.1647,115004.43,7.42,7.21,0.4386,0.3741,54.73,80.0,1088.7088658809662,16.966646671295166,0.002649375809818973
Electricity,TimesFM,96,336,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,281.2331,141833.28,8.58,8.35,0.5073,0.4614,63.3,89.35,1605.5456483364105,14.347424030303955,0.002649375809818973
Electricity,TimesFM,96,720,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,297.1074,167441.33,9.07,8.75,0.5359,0.5447,66.87,92.32,3147.872734308243,13.421416282653809,0.002649375809818973
Exchange,TimesFM,96,96,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,0.0155,0.0004,2.02,2.02,0.2789,0.1281,10.85,11.85,154.07020092010498,4.779594898223877,0.002649375809818973
Exchange,TimesFM,96,192,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,0.0212,0.0007,2.75,2.81,0.3809,0.2407,14.82,17.53,301.76156544685364,4.814551115036011,0.002649375809818973
Exchange,TimesFM,96,336,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,0.0258,0.0011,3.35,3.35,0.4636,0.3707,18.04,18.98,435.05949449539185,4.13967490196228,0.002649375809818973
Exchange,TimesFM,96,720,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,0.0538,0.0057,6.99,7.31,0.9664,1.8359,37.6,51.1,810.8708779811859,4.7504966259002686,0.002649375809818973
Solar,TimesFM,96,96,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,2364.7732,4.263575e+07,32689.74,132.39,200.6913,307080.4,23965.54,127.96,1103.4502201080322,32.79752588272095,0.002649375809818973
Solar,TimesFM,96,192,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,104075.15,2.0663851e+11,1.4386956e+06,130.3,8832.549,1.4882963e+09,1.0547386e+06,125.35,2163.0918085575104,32.646557569503784,0.002649375809818973
Solar,TimesFM,96,336,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,3.7113984e+07,2.032666e+16,5.130498e+08,124.52,3.1497538e+06,1.4640104e+14,3.7612774e+08,118.32,3237.1120386123657,27.820115089416504,0.002649375809818973
Solar,TimesFM,96,720,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,7.898941e+17,inf,1.09192e+19,178.19,6.7035974e+16,inf,8.005099e+18,176.74,6407.695102453232,26.710517406463623,0.002649375809818973
Weather,TimesFM,96,96,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,17.5737,910.2687,4.05,3.97,0.0458,0.0062,75.7,76.11,1110.2158391475677,33.26000142097473,0.002649375809818973
Weather,TimesFM,96,192,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,13.0458,368.1826,3.01,3.02,0.034,0.0025,56.19,66.05,2237.436245918274,33.02155947685242,0.002649375809818973
Weather,TimesFM,96,336,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,29.5011,3061.1702,6.8,6.52,0.0768,0.0208,127.07,91.56,3334.2786169052124,28.557781457901,0.002649375809818973
Weather,TimesFM,96,720,LoRA,4,8,0.1,"['qkv_proj', 'out']",0.001,10,64,609.0852,1.3191255e+07,140.49,46.47,1.5863,89.4789,2623.58,136.65,6471.060340642929,26.098631381988525,0.002649375809818973
